"Cód Transacción","Cód Transacción","Descripción Transacción","Artículo","Descripción Artículo","Planta","Desc. Planta","Cód. Configuración","Dirección","Cantidad","UdM","Dirección Paralela","Ctd Paralela","UdM Paralela","Ubicación","Almacén","Cajón","Fila","Nivel","Caja","Nº Lote","Nº Serie","Cód. Condición","Desc. Cód. Condición","Nº R/D/R","Nº Rev","Fecha Caducidad","Ref Orden 1","Ref Orden 2","Ref Orden 3","Ref Orden 4","Tipo Orden","Coste","Coste Inventario","Coste Total","Creado","Hora Creación","Nota","Realizado Por","Fecha Aplicada","Incl en Art Agr por Periodo","Incl.Valor Agreg. por Per.","Devol/Deshec","Propiedad","Propietario","Nombre Propietario","Propiedad Previo","Propietario Previo","Nombre Propietario Previo","Cód. Programa","Descripción de Programa","Cód Proyecto","Nombre Proyecto","Cód Subproyecto","Descripción Subproyecto","Cód Actividad","Descripción Actividad","Secuencia Actividad","Tiene Errores Contab","Tiene Contab Trasnferidas","Cód Inf Trans Inv","Fecha Aplicada Fecha Modificación","Fecha Aplicada Modificada por Usuario"
"332,751","INTSHIP","Consumo para Solic.Material","P02.011.CA0205","CABLE HDMI 1.3/3D","05INV","TERMOPICHINCHA INV","*","-","13","m","","","","SRAI0000","SANTA ROSA INV","SRA01","0","0","0","0","*","","","*","1","","36901","2","1","1","Solicitud Material","4.89","63.62","63.62","19/03/2013","13:35:51","INT","VTIXE","12/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51537","19/03/2013 13:36:39","VTIXE"
"332,752","INTSHIP","Consumo para Solic.Material","P02.127.TA0014","TARJETA DE VIDEO","05INV","TERMOPICHINCHA INV","*","-","1","UNIDAD","","","","SRAI0000","SANTA ROSA INV","SRA01","0","0","0","0","*","","","*","1","","36901","3","1","1","Solicitud Material","49.5","49.5","49.5","19/03/2013","13:35:51","INT","VTIXE","12/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51537","19/03/2013 13:36:39","VTIXE"
"332,822","INTSHIP","Consumo para Solic.Material","P17.002.TE0001","TELEVISOR","05INV","TERMOPICHINCHA INV","*","-","1","UNIDAD","","","","SRAI0000","SANTA ROSA INV","SRA01","0","0","0","0","*","","","*","1","","36779","1","1","1","Solicitud Material","1,169.28","1,169.28","1,169.28","19/03/2013","13:49:16","INT","VTIXE","12/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51545","19/03/2013 13:49:49","VTIXE"
"332,834","ARRIVAL","Recepción de Orden de Compra","P02.026.MN0199","MANGUERA DE CAUCHO LONA  CON REBESTIMIENTO 5/16""","05M-O","TERMOPICHINCHA M-O","*","+","1.35","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100012465","1","1","1","Orden Compra","14.78","19.96","19.96","19/03/2013","13:56:58","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:56:58","VTIXE"
"332,835","ARRIVAL","Recepción de Orden de Compra","P02.026.MN0196","MANGUERA DE CAUCHO CON REBESTIMIENTO 13/32""","05M-O","TERMOPICHINCHA M-O","*","+","1.9","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100012465","2","1","1","Orden Compra","13.44","25.54","25.54","19/03/2013","13:56:59","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:56:59","VTIXE"
"332,836","ARRIVAL","Recepción de Orden de Compra","P02.026.MN0070","MANGUERA 3/8 DE 20 BAR 300 PSI","05M-O","TERMOPICHINCHA M-O","*","+","4.58","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","P100012465","3","1","1","Orden Compra","5.05","23.13","23.13","19/03/2013","13:56:59","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:56:59","VTIXE"
"332,837","ARRIVAL","Recepción de Orden de Compra","P02.026.AC0072","ACOPLE DE COBRE, ROSCADO 3/8""","05M-O","TERMOPICHINCHA M-O","*","+","2","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100012465","4","1","1","Orden Compra","1.68","3.36","3.36","19/03/2013","13:56:59","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:56:59","VTIXE"
"332,838","ARRIVAL","Recepción de Orden de Compra","P02.026.MN0198","MANGUERA DE CAUCHO LONA  5/16""","05M-O","TERMOPICHINCHA M-O","*","+","2.99","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100012465","5","1","1","Orden Compra","12","35.87","35.87","19/03/2013","13:56:59","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:56:59","VTIXE"
"332,839","ARRIVAL","Recepción de Orden de Compra","P02.015.MG0001","MANGUERA DE CAUCHO LONA DUNLOP DE 1/2""","05M-O","TERMOPICHINCHA M-O","*","+","7.09","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100012465","6","1","1","Orden Compra","6.51","46.13","46.13","19/03/2013","13:57:00","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:57:00","VTIXE"
"332,840","ARRIVAL","Recepción de Orden de Compra","P02.026.AC0047","ACOPLE DE BRONCE DE 1/2"" X 1/4""","05M-O","TERMOPICHINCHA M-O","*","+","15","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100012465","7","1","1","Orden Compra","2.58","38.64","38.64","19/03/2013","13:57:00","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:57:00","VTIXE"
"332,841","ARRIVAL","Recepción de Orden de Compra","P02.026.MN0200","MANGUERA DE CAUCHO LONA 3/8""","05M-O","TERMOPICHINCHA M-O","*","+","1.45","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100012465","8","1","1","Orden Compra","6.5","9.42","9.42","19/03/2013","13:57:00","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:57:00","VTIXE"
"332,842","ARRIVAL","Recepción de Orden de Compra","P02.026.NP0154","NEPLO DE BRONCE 1/4"" NPT X 1/2"" CAÑERIA","05M-O","TERMOPICHINCHA M-O","*","+","6","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100012465","9","1","1","Orden Compra","3.36","20.16","20.16","19/03/2013","13:57:00","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:57:00","VTIXE"
"332,843","ARRIVAL","Recepción de Orden de Compra","P02.026.MN0197","MANGUERA DE CAUCHO LONA 13/32""","05M-O","TERMOPICHINCHA M-O","*","+","2","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","P100012465","10","1","1","Orden Compra","13.44","26.88","26.88","19/03/2013","13:57:00","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:57:01","VTIXE"
"332,844","ARRIVAL","Recepción de Orden de Compra","P02.026.MN0066","MANGUERA 5/16, PARA GAS/AIRE","05M-O","TERMOPICHINCHA M-O","*","+","1.15","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100012465","11","1","1","Orden Compra","14.34","16.49","16.49","19/03/2013","13:57:01","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:57:01","VTIXE"
"332,845","ARRIVAL","Recepción de Orden de Compra","P02.026.NP0007","NEPLO T DE COBRE 3/8 DE 15.5 MM.","05M-O","TERMOPICHINCHA M-O","*","+","1","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100012465","12","1","1","Orden Compra","5.6","5.6","5.6","19/03/2013","13:57:01","","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51550","19/03/2013 13:57:01","VTIXE"
"332,851","INTSHIP","Consumo para Solic.Material","P02.026.MN0199","MANGUERA DE CAUCHO LONA  CON REBESTIMIENTO 5/16""","05M-O","TERMOPICHINCHA M-O","*","-","1.35","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","37255","1","1","1","Solicitud Material","14.78","19.96","19.96","19/03/2013","14:07:01","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:59","VTIXE"
"332,852","INTSHIP","Consumo para Solic.Material","P02.026.MN0196","MANGUERA DE CAUCHO CON REBESTIMIENTO 13/32""","05M-O","TERMOPICHINCHA M-O","*","-","1.9","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","37255","2","1","1","Solicitud Material","13.44","25.54","25.54","19/03/2013","14:07:01","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:58","VTIXE"
"332,853","INTSHIP","Consumo para Solic.Material","P02.026.MN0070","MANGUERA 3/8 DE 20 BAR 300 PSI","05M-O","TERMOPICHINCHA M-O","*","-","4.58","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","37255","3","1","1","Solicitud Material","7.22","33.05","33.05","19/03/2013","14:07:01","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:58","VTIXE"
"332,854","INTSHIP","Consumo para Solic.Material","P02.026.AC0072","ACOPLE DE COBRE, ROSCADO 3/8""","05M-O","TERMOPICHINCHA M-O","*","-","2","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","37255","4","1","1","Solicitud Material","1.68","3.36","3.36","19/03/2013","14:07:01","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:57","VTIXE"
"332,855","INTSHIP","Consumo para Solic.Material","P02.026.MN0198","MANGUERA DE CAUCHO LONA  5/16""","05M-O","TERMOPICHINCHA M-O","*","-","2.99","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","37255","5","1","1","Solicitud Material","12","35.87","35.87","19/03/2013","14:07:02","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:57","VTIXE"
"332,856","INTSHIP","Consumo para Solic.Material","P02.015.MG0001","MANGUERA DE CAUCHO LONA DUNLOP DE 1/2""","05M-O","TERMOPICHINCHA M-O","*","-","7.09","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","37255","6","1","1","Solicitud Material","5.79","41.05","41.05","19/03/2013","14:07:02","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:57","VTIXE"
"332,857","INTSHIP","Consumo para Solic.Material","P02.026.AC0047","ACOPLE DE BRONCE DE 1/2"" X 1/4""","05M-O","TERMOPICHINCHA M-O","*","-","15","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","37255","7","1","1","Solicitud Material","2.58","38.64","38.64","19/03/2013","14:07:02","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:57","VTIXE"
"332,858","INTSHIP","Consumo para Solic.Material","P02.026.MN0200","MANGUERA DE CAUCHO LONA 3/8""","05M-O","TERMOPICHINCHA M-O","*","-","1.45","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","37255","8","1","1","Solicitud Material","6.5","9.42","9.42","19/03/2013","14:07:02","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:57","VTIXE"
"332,859","INTSHIP","Consumo para Solic.Material","P02.026.NP0154","NEPLO DE BRONCE 1/4"" NPT X 1/2"" CAÑERIA","05M-O","TERMOPICHINCHA M-O","*","-","6","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","37255","9","1","1","Solicitud Material","3.36","20.16","20.16","19/03/2013","14:07:02","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:57","VTIXE"
"332,860","INTSHIP","Consumo para Solic.Material","P02.026.MN0197","MANGUERA DE CAUCHO LONA 13/32""","05M-O","TERMOPICHINCHA M-O","*","-","2","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","","","*","1","","37255","10","1","1","Solicitud Material","13.44","26.88","26.88","19/03/2013","14:07:03","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:58","VTIXE"
"332,861","INTSHIP","Consumo para Solic.Material","P02.026.MN0066","MANGUERA 5/16, PARA GAS/AIRE","05M-O","TERMOPICHINCHA M-O","*","-","1.15","m","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","37255","11","1","1","Solicitud Material","7.84","9.02","9.02","19/03/2013","14:07:03","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:58","VTIXE"
"332,862","INTSHIP","Consumo para Solic.Material","P02.026.NP0007","NEPLO T DE COBRE 3/8 DE 15.5 MM.","05M-O","TERMOPICHINCHA M-O","*","-","1","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","37255","12","1","1","Solicitud Material","3.72","3.72","3.72","19/03/2013","14:07:03","INT","VTIXE","14/03/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","51551","19/03/2013 14:07:58","VTIXE"
"275,142","INVM-ISS","Transferencia Interna - Salida","P02.109.PL0004","PLC","05INV","TERMOPICHINCHA INV","*","-","1","UNIDAD","","","","SRAI0000","SANTA ROSA INV","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","","","","","","779.68","779.68","779.68","09/01/2013","8:33:24","","MALVAREZ","09/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","","",""
"278,945","INTSHIP","Consumo para Solic.Material","P13.009.IN0004","SALCHICHA ABSORBENTE DE HIDROCARBUROS","05M-O","TERMOPICHINCHA M-O","*","-","4","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","31718","1","1","1","Solicitud Material","24.49","97.94","97.94","16/01/2013","11:51:06","INT","VTIXE","16/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42107","",""
"278,946","INTSHIP","Consumo para Solic.Material","P13.009.IN0005","SALCHICHA ABSORBENTE PARA HIDROCARBUROS T-4 (4 X 3"") CAP. 1 GALON X CORDON","05M-O","TERMOPICHINCHA M-O","*","-","5","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","31718","2","1","1","Solicitud Material","25.76","128.8","128.8","16/01/2013","11:51:06","INT","VTIXE","16/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42107","",""
"278,947","INTSHIP","Consumo para Solic.Material","P13.017.SA0001","SACO DE YUTE","05M-O","TERMOPICHINCHA M-O","*","-","10","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","31718","3","1","1","Solicitud Material","0.34","3.37","3.37","16/01/2013","11:51:06","INT","VTIXE","16/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42107","",""
"278,948","INTSHIP","Consumo para Solic.Material","P13.009.IN0003","PAÑOS ABSORBENTES DE DERIVADOS DE PETROLEOS","05M-O","TERMOPICHINCHA M-O","*","-","125","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","31718","4","1","1","Solicitud Material","0.88","109.64","109.64","16/01/2013","11:51:06","INT","VTIXE","16/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42107","",""
"278,949","INTSHIP","Consumo para Solic.Material","P02.131.EN0001","ENCAPSULADOR","05M-O","TERMOPICHINCHA M-O","*","-","48","kg","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","31718","5","1","1","Solicitud Material","1.1","52.68","52.68","16/01/2013","11:51:06","INT","VTIXE","16/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42107","",""
"278,950","INTSHIP","Consumo para Solic.Material","P12.041.ES0001","ESTILETE","05M-O","TERMOPICHINCHA M-O","*","-","2","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","31718","7","1","1","Solicitud Material","1.24","2.48","2.48","16/01/2013","11:51:07","INT","VTIXE","16/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42107","",""
"279,189","ARRIVAL","Recepción de Orden de Compra","P12.071.BO0002","BOTELLON DE AGUA  PURIFICADA-CARGA","05M-O","TERMOPICHINCHA M-O","*","+","6","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100010511","1","1","1","Orden Compra","2.36","14.18","14.18","16/01/2013","15:14:42","","VTIXE","10/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42161","16/01/2013 15:14:42","VTIXE"
"279,194","ARRIVAL","Recepción de Orden de Compra","02.020.TQ0025","TANQUE  PLASTICO CAP. 2500 LITROS","05M-O","TERMOPICHINCHA M-O","*","+","2","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100010540","1","1","1","Orden Compra","229.47","458.94","458.94","16/01/2013","15:17:51","","VTIXE","07/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42163","16/01/2013 15:17:51","VTIXE"
"279,206","ARRIVAL","Recepción de Orden de Compra","P02.025.CC0020","CAJA DE CONEXION METALICA DE 40 X 30 X 20","05M-O","TERMOPICHINCHA M-O","*","+","1","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100010543","1","1","1","Orden Compra","428.4","428.4","428.4","16/01/2013","15:21:53","","VTIXE","08/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42166","16/01/2013 15:21:53","VTIXE"
"279,211","ARRIVAL","Recepción de Orden de Compra","02.005.PR0306","PERNO DE ACERO INOX M6 X 40","05M-O","TERMOPICHINCHA M-O","*","+","20","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","","P100010544","1","1","1","Orden Compra","0.15","3.02","3.02","16/01/2013","15:24:58","","VTIXE","07/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42167","16/01/2013 15:24:58","VTIXE"
"279,212","ARRIVAL","Recepción de Orden de Compra","P02.005.TR0089","TUERCA DE ACERO MM 6 X 1.0","05M-O","TERMOPICHINCHA M-O","*","+","20","UNIDAD","","","","SRAM0000","SANTA ROSA M-O","SRA01","0","0","0","0","*","NORMAL","Condición normal.","*","1","01/01/2999","P100010544","2","1","1","Orden Compra","0.03","0.6","0.6","16/01/2013","15:24:58","","VTIXE","07/01/2013","N","N","","Propiedad Compañía","","","","","","","","","","","","","","0","FALSE","TRUE","42167","16/01/2013 15:24:58","VTIXE"
